,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,annual_inc,verification_status,issue_d,loan_status
0,17200.0,60,0.1449,404.6,3,4,8,73000.0,-1,6,1
1,4800.0,36,0.1349,162.87,3,2,2,111000.0,0,6,1
2,9000.0,36,0.1399,307.56,3,3,10,125000.0,-1,6,-1
3,1500.0,36,0.1999,55.74,4,4,9,32000.0,0,6,1
4,20000.0,36,0.0859,632.19,1,5,3,210000.0,0,6,1
5,11000.0,36,0.0949,352.32,2,2,10,60000.0,0,6,-1
6,10000.0,36,0.0949,320.29,2,2,9,40000.0,0,6,1
7,12000.0,36,0.1559,419.46,3,5,7,70000.0,0,6,1
8,30000.0,60,0.24489999999999998,871.6,5,3,2,323000.0,0,6,1
9,16000.0,60,0.1559,385.62,3,5,10,82000.0,0,6,-1
