,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,annual_inc,verification_status,issue_d
0,0.5255288135999545,1.5275252316519463,-0.006414695022632345,0.06182112546164137,0.09578262852211522,0.41522739926869984,0.31311214554257477,-0.4642326799500777,-1.9999999999999998,0.0
1,-1.0834976774221283,-0.6546536707079774,-0.22023786244373425,-1.055488830264901,0.09578262852211522,-1.2456821978060995,-1.5655607277128738,-0.018756875957578897,0.49999999999999994,0.0
2,-0.5385048336888423,-0.6546536707079774,-0.1133262787331833,-0.3867113616260337,0.09578262852211522,-0.41522739926869984,0.9393364366277243,0.14536578867123645,-1.9999999999999998,0.0
3,-1.5117063403554247,-0.6546536707079774,1.169612725793427,-1.5506587121868158,1.0536089137432665,0.41522739926869984,0.6262242910851495,-0.944877626363037,0.49999999999999994,0.0
4,0.8888573760888119,-0.6546536707079774,-1.2679713828071324,1.1137740184571479,-1.8198699419201876,1.2456821978060995,-1.252448582170299,1.1418248239176154,0.49999999999999994,0.0
5,-0.27898443191108696,-0.6546536707079774,-1.075530532128141,-0.17982436531477722,-0.8620436566990362,-1.2456821978060995,0.9393364366277243,-0.6166322971054062,0.49999999999999994,0.0
6,-0.4087446327999646,-0.6546536707079774,-1.075530532128141,-0.3278715166072156,-0.8620436566990362,-1.2456821978060995,0.6262242910851495,-0.8510932465751425,0.49999999999999994,0.0
7,-0.1492242310222093,-0.6546536707079774,0.22879078914057976,0.13050612915210746,0.09578262852211522,1.2456821978060995,0.0,-0.49940182237053815,0.49999999999999994,0.0
8,2.186459384977588,1.5275252316519463,2.1318169791883843,2.22036060886997,2.011435198964418,-0.41522739926869984,-1.5655607277128738,2.466529188421625,0.49999999999999994,0.0
9,0.3698165725333013,1.5275252316519463,0.22879078914057976,-0.025907095941121196,0.09578262852211522,1.2456821978060995,0.9393364366277243,-0.3587252526886964,0.49999999999999994,0.0
